Apo_Name1;Apo_Name2;PLZ;Ort;source
Hellweg-Apotheke;;59427;Unna;akwl
Apotheke im Kaufland;;33102;Paderborn;akwl
Elisabeth-Apotheke am Blauen See;;46284;Dorsten;akwl
Apotheke Rathaus Galerie;;58095;Hagen;akwl
Rammes Nord-Apotheke;;48429;Rheine;akwl
farma-plus Apotheke Beuth im Ruhrpark;;44791;Bochum;akwl
EinSteinApotheke;;48431;Rheine;akwl
Feen-Apotheke;;58300;Wetter;akwl
Kleeblatt Apotheke im Palais Vest;;45657;Recklinghausen;akwl
Stüwwenkopp-Apotheke;;48607;Ochtrup;akwl
Eulen-Apotheke;;59555;Lippstadt;akwl
Apotheke am Ring;;58452;Witten;akwl
Adler-Apotheke im Ärztezentrum;;48231;Warendorf;akwl
Apotheke im Pued;;44339;Dortmund;akwl
Guten Tag-Apotheke Thier Galerie;;44137;Dortmund;akwl
Neue Apotheke Derne OHG;;44329;Dortmund;akwl
Hirsch-Apotheke;;44135;Dortmund;akwl
St.Vitus-Apotheke;;33181;Bad Wünnenberg;akwl
Sintfeld-Apotheke;;33181;Bad Wünnenberg;akwl
Aatal-Apotheke;;33181;Bad Wünnenberg;akwl
Elefanten-Apotheke;;58452;Witten;akwl
See-Apotheke;;58456;Witten;akwl
Apotheke im real,-;;58453;Witten;akwl
Milan-Apotheke;;58453;Witten;akwl
Apotheke am boni-Center;;58455;Witten;akwl
Sonnen-Apotheke;;58453;Witten;akwl
Apotheke am Markt;;58456;Witten;akwl
Apotheke am Bodenborn;;58452;Witten;akwl
Westfalen-Apotheke;;58454;Witten;akwl
Salvator-Apotheke OHG;;58454;Witten;akwl
Rathaus-Apotheke;;58452;Witten;akwl
Königs-Apotheke;;58456;Witten;akwl
Hubertus-Apotheke;;58455;Witten;akwl
Hainberg-Apotheke;;58455;Witten;akwl
Engel-Apotheke;;58452;Witten;akwl
Einhorn-Apotheke;;58452;Witten;akwl
Central-Apotheke;;58455;Witten;akwl
Burg-Apotheke;;58452;Witten;akwl
Brunnen-Apotheke;;58456;Witten;akwl
Beethoven-Apotheke;;58452;Witten;akwl
Adler-Apotheke;;58453;Witten;akwl
Adler-Apotheke;;58452;Witten;akwl
Franziskus-Apotheke;;59955;Winterberg;akwl
Markt-Apotheke;;59955;Winterberg;akwl
Marien-Apotheke;;59955;Winterberg;akwl
Kur-Apotheke;;59955;Winterberg;akwl
Brücken-Apotheke-Wilnsdorf;;57234;Wilnsdorf;akwl
Rathaus-Apotheke;;57234;Wilnsdorf;akwl
Wieland-Apotheke;;57234;Wilnsdorf;akwl
Laurentius-Apotheke;;57234;Wilnsdorf;akwl
St.Vitus-Apotheke;;34439;Willebadessen;akwl
Hirsch-Apotheke;;34439;Willebadessen;akwl
Ruhr-Apotheke;;58739;Wickede;akwl
Loewen-Apotheke;;58739;Wickede;akwl
Alte Apotheke;;58739;Wickede;akwl
Ludgeri-Apotheke;;48493;Wettringen;akwl
Sonnen-Apotheke;;48493;Wettringen;akwl
DocMorris-Apotheke im Ruhrtal-Center;;58300;Wetter;akwl
Elfen-Apotheke;;58300;Wetter;akwl
Hirsch-Apotheke;;58300;Wetter;akwl
Harkort-Apotheke;;58300;Wetter;akwl
Goethe-Apotheke;;58300;Wetter;akwl
Adler-Apotheke;;58300;Wetter;akwl
Hirsch-Apotheke;;49492;Westerkappeln;akwl
Hanfrieden-Apotheke;;49492;Westerkappeln;akwl
Sonnen-Apotheke;;33824;Werther;akwl
Markt-Apotheke;;33824;Werther;akwl
Adler-Apotheke;;33824;Werther;akwl
Lippe-Apotheke;;59368;Werne;akwl
Apotheke am Solebad;;59368;Werne;akwl
Fürstenhof-Apotheke;;59368;Werne;akwl
Apotheke am Steinhaus;;59368;Werne;akwl
Post-Apotheke;;59368;Werne;akwl
St.Hubertus-Apotheke;;59368;Werne;akwl
Gerstein-Apotheke;;59368;Werne;akwl
Christophorus-Apotheke;;59368;Werne;akwl
Adler-Apotheke;;59368;Werne;akwl
Avie Walburga-Apotheke;;59457;Werl;akwl
Sonnen-Apotheke;;59457;Werl;akwl
Arkade-Apotheke;;59457;Werl;akwl
Sälzer-Apotheke;;59457;Werl;akwl
Bären-Apotheke an der Basilika;;59457;Werl;akwl
Hirsch-Apotheke;;59457;Werl;akwl
Hellweg-Apotheke OHG Werl;;59457;Werl;akwl
Stadt-Apotheke;;58791;Werdohl;akwl
Neue Apotheke;;58791;Werdohl;akwl
Fortuna-Apotheke;;58791;Werdohl;akwl
Engel-Apotheke;;58791;Werdohl;akwl
Bahnhof-Apotheke;;58791;Werdohl;akwl
Kunibertus-Apotheke;;57482;Wenden;akwl
Antonius-Apotheke;;57482;Wenden;akwl
Severinus-Apotheke;;57482;Wenden;akwl
Marien-Apotheke;;57482;Wenden;akwl
Steinhoffs Markt-Apotheke OHG;;59514;Welver;akwl
Engel-Apotheke Dr. Heidel e.K.;;59581;Warstein;akwl
Apotheke an der Kirche;;59581;Warstein;akwl
Pankratius-Apotheke;;59581;Warstein;akwl
Löwen-Apotheke;;59581;Warstein;akwl
Hubertus-Apotheke;;59581;Warstein;akwl
Hirsch-Apotheke;;59581;Warstein;akwl
Bahnhofs-Apotheke;;59581;Warstein;akwl
Adler-Apotheke;;59581;Warstein;akwl
Apotheke im Gesundheitszentrum;;48231;Warendorf;akwl
Marien Apotheke;;48231;Warendorf;akwl
Flora-Apotheke;;48231;Warendorf;akwl
Stifts-Apotheke;;48231;Warendorf;akwl
St.Georg-Apotheke;;48231;Warendorf;akwl
Sonnen-Apotheke;;48231;Warendorf;akwl
Löwen-Apotheke;;48231;Warendorf;akwl
Kreuz-Apotheke;;48231;Warendorf;akwl
Hansa-Apotheke;;48231;Warendorf;akwl
Adler-Apotheke;;48231;Warendorf;akwl
Altstadt-Apotheke;;34414;Warburg;akwl
Apotheke am Kasseler Tor;;34414;Warburg;akwl
Desenberg-Apotheke;;34414;Warburg;akwl
Teutonenburg-Apotheke;;34414;Warburg;akwl
St.Erasmus-Apotheke;;34414;Warburg;akwl
Schildkröten-Apotheke;;34414;Warburg;akwl
Marien-Apotheke;;34414;Warburg;akwl
Hirsch-Apotheke;;34414;Warburg;akwl
Neue Apotheke im MZL;;45731;Waltrop;akwl
Apotheke am Markt;;45731;Waltrop;akwl
Süd-Apotheke;;45731;Waltrop;akwl
Neue Apotheke am Kiepenkerl;;45731;Waltrop;akwl
Marien-Apotheke;;45731;Waltrop;akwl
Glückauf-Apotheke;;45731;Waltrop;akwl
Alte Apotheke;;45731;Waltrop;akwl
Nikolaus-Apotheke;;59329;Wadersloh;akwl
Abtei-Apotheke Liesborn;;59329;Wadersloh;akwl
Apotheke am Dom;;59329;Wadersloh;akwl
Sonnen-Apotheke;;59329;Wadersloh;akwl
Apotheke Widukind;;48691;Vreden;akwl
Mühlen-Apotheke;;48691;Vreden;akwl
Marien-Apotheke;;48691;Vreden;akwl
Hirsch-Apotheke;;48691;Vreden;akwl
Burg-Apotheke;;48691;Vreden;akwl
Mühlen-Apotheke;;32602;Vlotho;akwl
Weser-Apotheke;;32602;Vlotho;akwl
Rosen-Apotheke;;32602;Vlotho;akwl
Markt-Apotheke;;32602;Vlotho;akwl
Sonnen-Apotheke oHG;;33775;Versmold;akwl
AVIE Bahnhof-Apotheke;;33775;Versmold;akwl
Bären-Apotheke;;33775;Versmold;akwl
Apotheke Hollefeld OHG;;33775;Versmold;akwl
Apotheke im Minipreis Center OHG;;33415;Verl;akwl
Bären Apotheke;;33415;Verl;akwl
Fürst-Wenzel-Apotheke;;33415;Verl;akwl
Westfalen-Apotheke;;33415;Verl;akwl
Neue Apotheke;;33415;Verl;akwl
Apotheke am Alten Bahnhof;;46342;Velen;akwl
Marien-Apotheke;;46342;Velen;akwl
Engel-Apotheke;;46342;Velen;akwl
Andreas Apotheke;;46342;Velen;akwl
Bären-Apotheke;;59425;Unna;akwl
Tauben-Apotheke;;59425;Unna;akwl
Regenbogen Apotheke;;59423;Unna;akwl
Mozart-Apotheke im Medical Center;;59423;Unna;akwl
Apotheke Berliner Allee;;59425;Unna;akwl
Sonnen-Apotheke;;59427;Unna;akwl
Salinen-Apotheke;;59425;Unna;akwl
Ring-Apotheke;;59423;Unna;akwl
Mühlen-Apotheke;;59427;Unna;akwl
Löwen-Apotheke;;59423;Unna;akwl
Hansa-Apotheke;;59423;Unna;akwl
Eulen-Apotheke;;59423;Unna;akwl
Burg-Apotheke;;59423;Unna;akwl
Adler-Apotheke;;59423;Unna;akwl
Bever-Apotheke;;48291;Telgte;akwl
Apotheke am Kirchpark;;48291;Telgte;akwl
Storchen-Apotheke;;48291;Telgte;akwl
Steintor-Apotheke;;48291;Telgte;akwl
Rathaus-Apotheke;;48291;Telgte;akwl
Conrad-Apotheke;;49545;Tecklenburg;akwl
Einhorn-Apotheke;;49545;Tecklenburg;akwl
Berg-Apotheke;;49545;Tecklenburg;akwl
Settmecke-Apotheke;;59846;Sundern;akwl
Röhrtal-Apotheke;;59846;Sundern;akwl
Hubertus-Apotheke;;59846;Sundern;akwl
Glocken-Apotheke;;59846;Sundern;akwl
Burg-Apotheke;;59846;Sundern;akwl
gesundleben Apotheke Christian Willeke e.K.;;59846;Sundern;akwl
Antonius-Apotheke;;59846;Sundern;akwl
Grenz-Apotheke Oeding;;46354;Südlohn;akwl
Engel-Apotheke;;46354;Südlohn;akwl
Apotheke in Levern;;32351;Stemwede;akwl
Strauß-Apotheke;;32351;Stemwede;akwl
Berliner Apotheke;;32351;Stemwede;akwl
Apotheke im Gesundheitszentrum Steinheim;;32839;Steinheim;akwl
Center Apotheke Steinheim;;32839;Steinheim;akwl
St.Rochus-Apotheke;;32839;Steinheim;akwl
Neue Uhlen-Apotheke;;32839;Steinheim;akwl
Markt-Apotheke;;32839;Steinheim;akwl
Engel-Apotheke;;32839;Steinheim;akwl
Steinhagener-Apotheke am Markt;;33803;Steinhagen;akwl
Mühlen-Apotheke;;33803;Steinhagen;akwl
Sonnen-Apotheke;;33803;Steinhagen;akwl
allesgut Apotheke im Burgforum;;48565;Steinfurt;akwl
PharMaxi-Apotheke;;48565;Steinfurt;akwl
allesgut Apotheke im BWS-Center;;48565;Steinfurt;akwl
Apotheke am Bauhaus;;48565;Steinfurt;akwl
Catharinen-Apotheke;;48565;Steinfurt;akwl
Schwanen-Apotheke;;48565;Steinfurt;akwl
Elefanten-Apotheke;;48565;Steinfurt;akwl
Burg-Apotheke;;48565;Steinfurt;akwl
Bahnhof-Apotheke;;48565;Steinfurt;akwl
Anker-Apotheke;;48565;Steinfurt;akwl
Berkel-Apotheke;;48703;Stadtlohn;akwl
Kiepenkerl-Apotheke;;48703;Stadtlohn;akwl
Tilly-Apotheke;;48703;Stadtlohn;akwl
Sonnen-Apotheke;;48703;Stadtlohn;akwl
Bären-Apotheke;;45549;Sprockhövel;akwl
Rosen-Apotheke;;45549;Sprockhövel;akwl
Glückauf-Apotheke;;45549;Sprockhövel;akwl
Friedrich-Apotheke;;45549;Sprockhövel;akwl
Rosen-Apotheke;;32139;Spenge;akwl
Barbara-Apotheke;;32139;Spenge;akwl
Adler-Apotheke;;32139;Spenge;akwl
Apotheke am Marienkrankenhaus OHG;;59494;Soest;akwl
Apotheke im Kloster Paradiese OHG;;59494;Soest;akwl
Steinhoffs Riga-Apotheke OHG;;59494;Soest;akwl
Apotheke Camen;;59494;Soest;akwl
West-Apotheke;(Kaufland-Passage);59494;Soest;akwl
Apotheke am Teich;;59494;Soest;akwl
Apotheke am Hansaplatz;;59494;Soest;akwl
Apotheke am Brüdertor;;59494;Soest;akwl
Süd-Apotheke;;59494;Soest;akwl
Schwanen-Apotheke;;59494;Soest;akwl
Rats-Apotheke OHG;;59494;Soest;akwl
Hellweg-Apotheke;;59494;Soest;akwl
Engel-Apotheke;;59494;Soest;akwl
Börde-Apotheke;;59494;Soest;akwl
Schloss-Apotheke Kreisklinikum;;57076;Siegen;akwl
Herz-Apotheke am Siegbogen;;57076;Siegen;akwl
easy-Apotheke Siegen;;57072;Siegen;akwl
Rathaus-Apotheke;;57078;Siegen;akwl
Dr.Bodinka Forum-Apotheke;;57072;Siegen;akwl
Bären-Apotheke Siegen;;57072;Siegen;akwl
Stern-Apotheke;;57072;Siegen;akwl
Apotheke zum Marienbörnchen;;57074;Siegen;akwl
Albertus Magnus e. K. die Gesundzeitapotheke;;57072;Siegen;akwl
Sonnen-Apotheke Ecke Wellersbergstraße;;57072;Siegen;akwl
Schwanen-Apotheke;;57080;Siegen;akwl
Schloss-Apotheke Markt;;57072;Siegen;akwl
Vollwerth-Apotheke;;57072;Siegen;akwl
Roland-Apotheke;;57076;Siegen;akwl
Oranien-Apotheke;;57078;Siegen;akwl
Markt-Apotheke;;57078;Siegen;akwl
Löwen-Apotheke;;57072;Siegen;akwl
Linden-Apotheke;;57080;Siegen;akwl
Kloster-Apotheke;;57074;Siegen;akwl
Jung-Stilling-Apotheke;;57074;Siegen;akwl
Hütten-Apotheke;;57078;Siegen;akwl
Hirsch-Apotheke;;57072;Siegen;akwl
Hindenburg-Apotheke;;57072;Siegen;akwl
Glückauf-Apotheke;;57080;Siegen;akwl
Gilberg-Apotheke;;57080;Siegen;akwl
Engel-Apotheke am Bahnhof;;57072;Siegen;akwl
Eisenhut-Apotheke;;57080;Siegen;akwl
Neue Burg-Apotheke;;57080;Siegen;akwl
Bismarck-Apotheke;;57076;Siegen;akwl
Bahnhof-Apotheke;;57072;Siegen;akwl
Adler-Apotheke;;57076;Siegen;akwl
Abc-Apotheke;;57076;Siegen;akwl
Apotheke Hake;;48324;Sendenhorst;akwl
Lamberti-Apotheke;;48324;Sendenhorst;akwl
Engel-Apotheke;;48324;Sendenhorst;akwl
Adler-Apotheke;;48324;Sendenhorst;akwl
Stever-Apotheke;;48308;Senden;akwl
St.Johannes-Apotheke;;48308;Senden;akwl
St.Urban-Apotheke;;48308;Senden;akwl
Marien-Apotheke;;48308;Senden;akwl
Engel-Apotheke;;48308;Senden;akwl
Bären-Apotheke am Selmer Zentrum;;59379;Selm;akwl
Bären-Apotheke;;59379;Selm;akwl
Altstadt-Apotheke Brüning;;59379;Selm;akwl
Apotheke am Sandforter Weg;;59379;Selm;akwl
St.Martin-Apotheke;;59379;Selm;akwl
Neue Apotheke Brüning;;59379;Selm;akwl
Hubertus-Apotheke;;59379;Selm;akwl
Marien-Apotheke;;58239;Schwerte;akwl
St.Viktor-Apotheke;;58239;Schwerte;akwl
Rosen-Apotheke;;58239;Schwerte;akwl
Tannen Apotheke;;58239;Schwerte;akwl
Rathaus-Apotheke;;58239;Schwerte;akwl
Ostentor-Apotheke;;58239;Schwerte;akwl
Neue Apotheke;;58239;Schwerte;akwl
Mühlen-Apotheke;;58239;Schwerte;akwl
Bahnhof-Apotheke;;58239;Schwerte;akwl
Aesculap-Apotheke;;58239;Schwerte;akwl
Adler-Apotheke;;58239;Schwerte;akwl
Rathaus-Apotheke;;58332;Schwelm;akwl
Apotheke Möllenkotten;;58332;Schwelm;akwl
Stern-Apotheke;;58332;Schwelm;akwl
Sonnen-Apotheke;;58332;Schwelm;akwl
Märkische Apotheke;;58332;Schwelm;akwl
Hirsch-Apotheke;;58332;Schwelm;akwl
Fortuna-Apotheke;;58332;Schwelm;akwl
Bahnhof-Apotheke;;58332;Schwelm;akwl
Linden-Apotheke;;48624;Schöppingen;akwl
St.Valentin-Apotheke;;57392;Schmallenberg;akwl
St.Georg-Apotheke;;57392;Schmallenberg;akwl
Marien-Apotheke;;57392;Schmallenberg;akwl
Löwen-Apotheke;;57392;Schmallenberg;akwl
Burg-Apotheke;;57392;Schmallenberg;akwl
Safari-Apotheke;;33758;Schloß Holte-Stukenbrock;akwl
Apotheke am Holter Kirchplatz;;33758;Schloß Holte-Stukenbrock;akwl
Apotheke am Markt;;33758;Schloß Holte-Stukenbrock;akwl
Pollhans-Apotheke;;33758;Schloß Holte-Stukenbrock;akwl
Hubertus-Apotheke;;33758;Schloß Holte-Stukenbrock;akwl
Arminius-Apotheke;;33758;Schloß Holte-Stukenbrock;akwl
Apotheke Vornewald;;33189;Schlangen;akwl
Eichen-Apotheke;;33189;Schlangen;akwl
Löwen-Apotheke;;32816;Schieder-Schwalenberg;akwl
Hubertus-Apotheke;;32816;Schieder-Schwalenberg;akwl
Volme-Apotheke;;58579;Schalksmühle;akwl
Hirsch-Apotheke;;58579;Schalksmühle;akwl
Linden-Apotheke;;48336;Sassenberg;akwl
Park-Apotheke;;48336;Sassenberg;akwl
Amts-Apotheke;;48336;Sassenberg;akwl
Apotheke am Salinenhof;;33154;Salzkotten;akwl
Sälzer-Apotheke;;33154;Salzkotten;akwl
Rats Apotheke Dr. Klaus Michels;;33154;Salzkotten;akwl
Matthäus-Apotheke;;33154;Salzkotten;akwl
Engel-Apotheke;;33154;Salzkotten;akwl
Rathaus-Apotheke;;48369;Saerbeck;akwl
Linden-Apotheke;;48369;Saerbeck;akwl
Hirsch-Apotheke;;59602;Rüthen;akwl
Hachtor-Apotheke;;59602;Rüthen;akwl
St.Nikolaus-Apotheke;;48720;Rosendahl;akwl
Markt-Apotheke;;48720;Rosendahl;akwl
Barbara-Apotheke;;48720;Rosendahl;akwl
Neue Apotheke Bruchmühlen;;32289;Rödinghausen;akwl
Adler-Apotheke;;32289;Rödinghausen;akwl
Antonius-Apotheke;;33397;Rietberg;akwl
Rosen-Apotheke Westerwiehe;;33397;Rietberg;akwl
Rotgerische Apotheke am Nordtor;;33397;Rietberg;akwl
Südtor-Apotheke;;33397;Rietberg;akwl
Rotgerische-Apotheke;;33397;Rietberg;akwl
Rosen-Apotheke Neuenkirchen;;33397;Rietberg;akwl
Marien-Apotheke;;33397;Rietberg;akwl
Apotheke am Humboldtplatz;;48429;Rheine;akwl
Apotheke im Gesundheitszentrum rechts der Ems;;48429;Rheine;akwl
Westpark Apotheke;;48431;Rheine;akwl
Don Bosco-Apotheke;;48432;Rheine;akwl
Königsesch-Apotheke;;48431;Rheine;akwl
Marien-Apotheke;;48432;Rheine;akwl
Veit-Apotheke;;48431;Rheine;akwl
Schotthock-Apotheke;;48429;Rheine;akwl
Rosen-Apotheke;;48431;Rheine;akwl
Rathaus-Apotheke;;48431;Rheine;akwl
Johannes-Apotheke;;48432;Rheine;akwl
Falken-Apotheke;;48431;Rheine;akwl
Eschendorf-Apotheke;;48429;Rheine;akwl
Ems-Apotheke OHG;;48429;Rheine;akwl
Galerie-Apotheke;;48431;Rheine;akwl
Adler-Apotheke oHG;;48431;Rheine;akwl
Apotheke Gutersohn;;46414;Rhede;akwl
Markt-Apotheke;;46414;Rhede;akwl
Hirsch-Apotheke;;46414;Rhede;akwl
Sonnen-Apotheke;;33378;Rheda-Wiedenbrück;akwl
Pius-Apotheke;;33378;Rheda-Wiedenbrück;akwl
Bären-Apotheke am Rathaus;;33378;Rheda-Wiedenbrück;akwl
Steinhoffs Schloss-Apotheke OHG;;33378;Rheda-Wiedenbrück;akwl
Rats-Apotheke;;33378;Rheda-Wiedenbrück;akwl
Morsey'sche-Apotheke;;33378;Rheda-Wiedenbrück;akwl
Markt-Apotheke;;33378;Rheda-Wiedenbrück;akwl
Löwen-Apotheke;;33378;Rheda-Wiedenbrück;akwl
Brücken-Apotheke;;33378;Rheda-Wiedenbrück;akwl
Andreas Apotheke;;33378;Rheda-Wiedenbrück;akwl
Apotheke am Benediktushof;;48734;Reken;akwl
Dorf-Apotheke;;48734;Reken;akwl
Apotheke am Bahnhof;;48734;Reken;akwl
Marien-Apotheke;;48734;Reken;akwl
DIE NEUE APOTHEKE IN WANNE;;44649;Herne;akwl
Löwen-Apotheke an der Westfalenstraße;;45661;Recklinghausen;akwl
DIE NEUE APOTHEKE IN Recklinghausen-Süd;;45661;Recklinghausen;akwl
Apotheke am Rathausplatz;;45657;Recklinghausen;akwl
Apotheke am Hohenzollernpark;;45659;Recklinghausen;akwl
Apotheke am Rosengarten;;45657;Recklinghausen;akwl
Bertrandis-Apotheke;;45661;Recklinghausen;akwl
Suitbert-Apotheke;;45659;Recklinghausen;akwl
Bären-Apotheke;;45657;Recklinghausen;akwl
Apotheke am Ehlinghof;;45665;Recklinghausen;akwl
Steintor-Apotheke;;45657;Recklinghausen;akwl
Sankt Paulus Apotheke;;45659;Recklinghausen;akwl
Elisabeth-Apotheke an der Engelsburg;;45657;Recklinghausen;akwl
Rosen-Apotheke OHG;;45663;Recklinghausen;akwl
Romberg-Apotheke;;45657;Recklinghausen;akwl
Bußmann's Rats-Apotheke;;45657;Recklinghausen;akwl
Quellberg-Apotheke;;45665;Recklinghausen;akwl
Bußmann's Merlin Apotheke;;45661;Recklinghausen;akwl
Neumarkt-Apotheke;;45661;Recklinghausen;akwl
Marien-Apotheke;;45661;Recklinghausen;akwl
Löwen-Apotheke am Markt;;45661;Recklinghausen;akwl
Liebfrauen-Apotheke;;45665;Recklinghausen;akwl
Kuniberti-Apotheke;;45657;Recklinghausen;akwl
Kreuz-Apotheke;;45665;Recklinghausen;akwl
DIE NEUE APOTHEKE in HOCHLARMARK;;45661;Recklinghausen;akwl
Heide-Apotheke;;45659;Recklinghausen;akwl
Glückauf-Apotheke;;45663;Recklinghausen;akwl
